County,MedianFamilyIncome,LATracts_half,LATracts1,HUNVFlag
Conejos County,47476.5,0,0,0.0
Contra Costa County,107756.0,181,96,0.13043478260869565
Converse County,76800.0,1,1,0.0
Conway County,53483.5,2,2,0.3333333333333333
Cook County,69250.0,745,167,0.20137299771167047
Cooke County,65574.5,4,2,0.25
Cooper County,65900.0,2,1,0.2
Coos County,57264.5,8,6,0.25
Coosa County,48015.0,0,0,0.0
Copiah County,52997.5,2,2,0.3333333333333333
Corson County,39980.5,0,0,0.0
Cortland County,68462.0,4,3,0.18181818181818182
Coryell County,56781.0,10,10,0.17647058823529413
Coshocton County,53956.0,3,2,0.6
Costilla County,33955.0,0,0,0.0
Cottle County,40469.0,0,0,0.0
Cotton County,58018.0,1,1,0.0
Cottonwood County,64817.5,0,0,0.0
Covington County,52036.0,4,2,0.16666666666666666
Covington city,54349.5,2,1,0.0
Coweta County,84398.5,13,13,0.35
Cowley County,58423.0,8,5,0.09090909090909091
Cowlitz County,62140.0,15,7,0.25
Craig County,50514.0,2,1,0.3333333333333333
Craighead County,53667.0,11,6,0.5294117647058824
Crane County,77440.0,1,1,0.0
Craven County,59888.0,12,9,0.2857142857142857
Crawford County,59021.0,34,25,0.2608695652173913
Creek County,60057.0,6,5,0.0
Crenshaw County,56770.0,0,0,0.0
Crisp County,41021.5,1,1,0.3333333333333333
Crittenden County,51277.5,15,7,0.25
Crockett County,53793.5,1,1,0.0
Crook County,62149.0,1,1,0.16666666666666666
Crosby County,44375.0,0,0,0.0
Cross County,49687.5,2,2,0.3333333333333333
Crow Wing County,68783.5,5,4,0.25
Crowley County,53750.0,0,0,0.0
Culberson County,39531.0,0,0,0.0
Cullman County,52394.0,3,2,0.2222222222222222
Culpeper County,80457.5,3,3,0.25
Cumberland County,66515.5,148,96,0.3347826086956522
Cuming County,68500.0,0,0,0.0
Currituck County,68250.0,0,0,0.0
Curry County,51146.0,10,8,0.17647058823529413
Custer County,62526.0,10,5,0.10526315789473684
Cuyahoga County,56451.5,333,100,0.2545871559633027
Dade County,57198.0,0,0,0.16666666666666666
Daggett County,96333.0,0,0,0.0
Dakota County,93398.0,89,56,0.1111111111111111
Dale County,57615.0,5,4,0.2857142857142857
Dallam County,69293.5,1,1,0.0
Dallas County,59443.0,456,186,0.21352313167259787
Dane County,95071.0,80,50,0.22772277227722773
Daniels County,70500.0,0,0,0.0
Danville city,45750.0,13,4,0.3333333333333333
Dare County,68323.0,5,4,0.1111111111111111
Darke County,62822.0,4,2,0.25
Darlington County,48095.5,5,4,0.6875
Dauphin County,70455.0,49,31,0.35384615384615387
Davidson County,62952.0,160,87,0.21465968586387435
Davie County,64635.0,3,3,0.2857142857142857
Daviess County,64806.0,20,8,0.28125
Davis County,88180.0,51,33,0.05357142857142857
Davison County,72553.5,3,2,0.25
Dawes County,63249.0,1,1,0.5
Dawson County,68821.0,9,7,0.23529411764705882
Day County,55302.0,0,0,0.0
De Baca County,60909.0,0,0,0.0
De Soto Parish,57500.0,1,1,0.5714285714285714
De Witt County,73696.0,2,0,0.0
DeKalb County,64077.0,151,89,0.35751295336787564
DeSoto County,62616.5,30,22,0.047619047619047616
DeWitt County,71354.0,0,0,0.2
Deaf Smith County,59883.0,3,3,0.25
Dearborn County,77722.0,5,5,0.2
Decatur County,55390.5,4,3,0.18181818181818182
Deer Lodge County,62292.0,2,0,0.3333333333333333
Defiance County,69330.0,5,4,0.4444444444444444
Del Norte County,47961.0,4,2,0.5714285714285714
Delaware County,80125.0,168,82,0.24034334763948498
Delta County,58800.0,5,3,0.2
Denali Borough,102500.0,0,0,0.0
Dent County,45080.5,2,1,0.25
Denton County,93750.0,114,59,0.072992700729927
Denver County,81746.0,116,25,0.2765957446808511
Des Moines County,67500.0,8,4,0.2727272727272727
Deschutes County,78113.5,14,11,0.16666666666666666
Desha County,42083.0,2,2,0.6
Deuel County,68934.0,0,0,0.0
Dewey County,61786.0,1,0,0.0
Dickens County,57292.0,0,0,0.0
Dickenson County,40900.5,0,0,1.0
Dickey County,75508.0,0,0,0.0
Dickinson County,66293.0,6,3,0.2777777777777778
Dickson County,62425.5,2,2,0.2
Dillingham Census Area,61640.0,0,0,1.0
Dillon County,38285.0,1,1,0.8333333333333334
Dimmit County,34324.0,1,1,1.0
Dinwiddie County,65874.5,2,1,0.3333333333333333
District of Columbia,111707.0,84,15,0.35260115606936415
Divide County,89375.0,0,0,0.0
Dixie County,42791.0,0,0,1.0
Dixon County,69661.5,0,0,0.0
Doddridge County,60944.5,0,0,0.0
Dodge County,67449.5,15,8,0.175
Dolores County,50792.0,0,0,0.0
Doniphan County,70417.0,0,0,0.0
Donley County,54375.0,0,0,0.0
Dooly County,43036.0,2,2,0.6666666666666666
Door County,72868.0,2,2,0.2222222222222222
Dorchester County,75738.5,22,17,0.23529411764705882
Dougherty County,41637.0,21,17,0.5925925925925926
Douglas County,76906.0,245,111,0.15915915915915915
Doña Ana County,42266.0,29,16,0.2926829268292683
Drew County,63229.0,1,1,0.2
DuPage County,107704.5,207,98,0.10185185185185185
Dubois County,74930.0,4,2,0.0
Dubuque County,72707.5,20,13,0.19230769230769232
Duchesne County,72670.0,1,1,0.0
Dukes County,93405.0,3,2,0.0
Dundy County,59271.0,0,0,0.0
Dunklin County,43633.0,4,3,0.3
Dunn County,73113.0,3,2,0.1111111111111111
Duplin County,53032.0,2,2,0.5454545454545454
Durham County,73125.0,47,29,0.40350877192982454
Dutchess County,99788.5,46,35,0.2236842105263158
Duval County,58623.0,159,90,0.42045454545454547
Dyer County,57891.0,3,3,0.25
Eagle County,94424.5,4,3,0.0
Early County,39444.0,0,0,0.0
East Baton Rouge Parish,64610.0,78,47,0.30337078651685395
East Carroll Parish,40517.0,2,2,0.3333333333333333
East Feliciana Parish,58901.0,0,0,0.4
Eastland County,43681.0,1,1,0.0
Eaton County,77956.0,18,13,0.14285714285714285
Eau Claire County,78855.5,16,12,0.35
Echols County,48699.5,0,0,0.0
Ector County,65549.0,25,10,0.17857142857142858
Eddy County,63343.0,7,6,0.38461538461538464
Edgar County,63802.0,2,2,0.4
Edgecombe County,46378.5,6,6,0.5
Edgefield County,56394.5,1,1,0.3333333333333333
Edmonson County,54167.0,0,0,0.3333333333333333
Edmunds County,76312.5,0,0,0.0
Edwards County,61257.5,0,0,0.0
Effingham County,73170.5,5,4,0.1111111111111111
El Dorado County,92255.0,20,16,0.09523809523809523
El Paso County,55764.0,244,124,0.14878892733564014
Elbert County,78138.5,1,1,0.3333333333333333
Elk County,67973.0,3,2,0.2
Elkhart County,64283.5,30,22,0.5277777777777778
Elko County,74493.5,5,1,0.07142857142857142
Elliott County,33926.0,0,0,0.0
Ellis County,79852.0,18,16,0.10256410256410256
Ellsworth County,68468.5,0,0,0.5
Elmore County,60813.0,6,5,0.3
Emanuel County,42026.5,1,1,0.6666666666666666
Emery County,66328.0,1,1,0.0
Emmet County,68842.5,5,2,0.0
Emmons County,62200.0,0,0,0.0
Emporia city,42979.0,2,0,0.5
Erath County,64978.0,4,4,0.25
Erie County,68951.0,241,130,0.4056603773584906
Escambia County,57982.0,65,48,0.25
Esmeralda County,45417.0,0,0,0.0
Essex County,70898.0,220,112,0.2041343669250646
Estill County,40833.5,0,0,0.5
Etowah County,52775.5,20,15,0.13333333333333333
Eureka County,90486.0,0,0,0.0
Evangeline Parish,40924.0,2,1,0.625
Evans County,50865.0,0,0,0.3333333333333333
Fairbanks North Star Borough,90813.0,12,7,0.21052631578947367
Fairfax County,140909.0,220,91,0.06666666666666667
Fairfax city,137763.0,4,1,0.2
Fairfield County,107915.5,182,107,0.19834710743801653
Fall River County,62778.0,1,1,0.0
Fallon County,81023.0,0,0,0.0
Falls Church city,195150.0,2,0,0.0
Falls County,56948.5,2,1,0.16666666666666666
Fannin County,62658.5,2,2,0.14285714285714285
Faribault County,68172.0,1,0,0.0
Faulk County,79150.0,0,0,0.0
Faulkner County,67823.0,15,10,0.24
Fauquier County,113889.0,3,3,0.0
Fayette County,63210.0,116,64,0.25125628140703515
Fentress County,40858.5,0,0,0.75
Fergus County,60782.0,1,1,0.5
Ferry County,53333.0,0,0,0.0
Fillmore County,70814.0,0,0,0.125
